cat_level_name,cat_level_url,Category_Level_1,Category_Level_2,Category_Level_3,Category_Level_4,Category_Level_5,Category_Level_6,Category_Level_7,Category_Level_8,Category_Level_9,Category_Level_10
baby,https://www.amazon.ae/s/ref=nb_sb_noss?url=search-alias%3Dbaby,baby,,,,,,,,,
baby > Activity & Entertainment,https://www.amazon.ae/Activity-Entertainment-Baby-Products/b?ie=UTF8&node=12198689031,baby , Activity & Entertainment,,,,,,,,
baby > Baby & Toddler Toys,https://www.amazon.ae/Baby-Toddler-Toys-Products/b?ie=UTF8&node=12122711031,baby , Baby & Toddler Toys,,,,,,,,
baby > Baby Care,https://www.amazon.ae/Baby-Care-Products/b?ie=UTF8&node=12198690031,baby , Baby Care,,,,,,,,
baby > Baby Clothing & Shoes,https://www.amazon.ae/Baby-Clothing-Shoes-Products/b?ie=UTF8&node=11995840031,baby , Baby Clothing & Shoes,,,,,,,,
baby > Diaper Changing,https://www.amazon.ae/Diaper-Changing-Baby-Products/b?ie=UTF8&node=12198694031,baby , Diaper Changing,,,,,,,,
baby > Newborn Gifts & Keepsakes,https://www.amazon.ae/Newborn-Gifts-Keepsakes-Baby-Products/b?ie=UTF8&node=12198695031,baby , Newborn Gifts & Keepsakes,,,,,,,,
baby > Nursery,https://www.amazon.ae/Nursery-Baby-Products/b?ie=UTF8&node=12198696031,baby , Nursery,,,,,,,,
baby > Nursing & Feeding,https://www.amazon.ae/Nursing-Feeding-Baby-Products/b?ie=UTF8&node=12198697031,baby , Nursing & Feeding,,,,,,,,
baby > Pacifiers & Teethers,https://www.amazon.ae/Pacifiers-Teethers-Baby-Products/b?ie=UTF8&node=12198701031,baby , Pacifiers & Teethers,,,,,,,,
baby > Potty Training & Step Stools,https://www.amazon.ae/Potty-Training-Step-Stools-Baby-Products/b?ie=UTF8&node=12198698031,baby , Potty Training & Step Stools,,,,,,,,
baby > Safety Equipment,https://www.amazon.ae/Safety-Equipment-Baby-Products/b?ie=UTF8&node=12198700031,baby , Safety Equipment,,,,,,,,
baby > Travel Gear,https://www.amazon.ae/Travel-Gear-Baby-Products/b?ie=UTF8&node=15185055031,baby , Travel Gear,,,,,,,,
baby > Activity & Entertainment > Baby Stationary Activity Centers,https://www.amazon.ae/b?node=21731964031&ref=sr_nr_n_1,baby , Activity & Entertainment , Baby Stationary Activity Centers,,,,,,,
baby > Activity & Entertainment > Bathtub Toys,https://www.amazon.ae/b?node=12122750031&ref=sr_nr_n_2,baby , Activity & Entertainment , Bathtub Toys,,,,,,,
baby > Activity & Entertainment > Nursery Mobiles,https://www.amazon.ae/b?node=12198917031&ref=sr_nr_n_3,baby , Activity & Entertainment , Nursery Mobiles,,,,,,,
baby > Activity & Entertainment > Baby Gyms & Playmats,https://www.amazon.ae/b?node=12198705031&ref=sr_nr_n_4,baby , Activity & Entertainment , Baby Gyms & Playmats,,,,,,,
baby > Activity & Entertainment > Baby Swings & Bouncers,https://www.amazon.ae/b?node=12198706031&ref=sr_nr_n_5,baby , Activity & Entertainment , Baby Swings & Bouncers,,,,,,,
baby > Activity & Entertainment > Baby Walkers,https://www.amazon.ae/b?node=12198707031&ref=sr_nr_n_6,baby , Activity & Entertainment , Baby Walkers,,,,,,,
baby > Baby & Toddler Toys > Baby Stationary Activity Centers,https://www.amazon.ae/b?node=21731964031&ref=sr_nr_n_1,baby , Baby & Toddler Toys , Baby Stationary Activity Centers,,,,,,,
baby > Baby & Toddler Toys > Baby Toys,https://www.amazon.ae/b?node=12122749031&ref=sr_nr_n_2,baby , Baby & Toddler Toys , Baby Toys,,,,,,,
baby > Baby & Toddler Toys > Bathtub Toys,https://www.amazon.ae/b?node=12122750031&ref=sr_nr_n_3,baby , Baby & Toddler Toys , Bathtub Toys,,,,,,,
baby > Baby & Toddler Toys > Comforting Toys,https://www.amazon.ae/b?node=12122753031&ref=sr_nr_n_4,baby , Baby & Toddler Toys , Comforting Toys,,,,,,,
baby > Baby & Toddler Toys > Early Development & Activity Toys,https://www.amazon.ae/b?node=12122758031&ref=sr_nr_n_5,baby , Baby & Toddler Toys , Early Development & Activity Toys,,,,,,,
baby > Baby & Toddler Toys > Baby Gyms & Playmats,https://www.amazon.ae/b?node=12198705031&ref=sr_nr_n_6,baby , Baby & Toddler Toys , Baby Gyms & Playmats,,,,,,,
baby > Baby & Toddler Toys > Puzzle Play Mats,https://www.amazon.ae/b?node=12122952031&ref=sr_nr_n_7,baby , Baby & Toddler Toys , Puzzle Play Mats,,,,,,,
baby > Baby & Toddler Toys > Rocking Horses & Animals,https://www.amazon.ae/b?node=22212457031&ref=sr_nr_n_8,baby , Baby & Toddler Toys , Rocking Horses & Animals,,,,,,,
baby > Baby Care > Baby Grooming,https://www.amazon.ae/Baby-Grooming-Care/b?ie=UTF8&node=12198709031,baby , Baby Care , Baby Grooming,,,,,,,
baby > Baby Care > Bathing,https://www.amazon.ae/Bathing-Baby-Care/b?ie=UTF8&node=12198711031,baby , Baby Care , Bathing,,,,,,,
baby > Baby Care > Gift Sets,https://www.amazon.ae/Gift-Sets-Baby-Care/b?ie=UTF8&node=12198712031,baby , Baby Care , Gift Sets,,,,,,,
baby > Baby Care > Hair Care,https://www.amazon.ae/Hair-Care-Baby/b?ie=UTF8&node=26297877031,baby , Baby Care , Hair Care,,,,,,,
baby > Baby Care > Health Care,https://www.amazon.ae/Health-Care-Baby/b?ie=UTF8&node=12198713031,baby , Baby Care , Health Care,,,,,,,
baby > Baby Care > Skin Care,https://www.amazon.ae/Skin-Care-Baby/b?ie=UTF8&node=12198715031,baby , Baby Care , Skin Care,,,,,,,
baby > Baby Care > Wipes & Accessories,https://www.amazon.ae/Wipes-Accessories-Baby-Care/b?ie=UTF8&node=12198716031,baby , Baby Care , Wipes & Accessories,,,,,,,
baby > Baby Clothing & Shoes > Baby Girls' Clothing & Shoes,https://www.amazon.ae/b?node=11995851031&ref=sr_nr_n_1,baby , Baby Clothing & Shoes , Baby Girls' Clothing & Shoes,,,,,,,
baby > Baby Clothing & Shoes > Baby Boys' Fashion,https://www.amazon.ae/b?node=11995850031&ref=sr_nr_n_2,baby , Baby Clothing & Shoes , Baby Boys' Fashion,,,,,,,
baby > Diaper Changing > Changing Bags,https://www.amazon.ae/Changing-Bags-Diaper/b?ie=UTF8&node=12198730031,baby , Diaper Changing , Changing Bags,,,,,,,
