cat_level_name,cat_level_url,Category_Level_1,Category_Level_2,Category_Level_3,Category_Level_4,Category_Level_5,Category_Level_6,Category_Level_7,Category_Level_8,Category_Level_9,Category_Level_10
computers,https://www.amazon.ae/s/ref=nb_sb_noss?url=search-alias%3Dcomputers,computers,,,,,,,,,
computers > Accessories,https://www.amazon.ae/Accessories-Computers/b?ie=UTF8&node=12050239031,computers , Accessories,,,,,,,,
computers > Components & Replacement Parts,https://www.amazon.ae/Components-Replacement-Parts-Computers/b?ie=UTF8&node=12050240031,computers , Components & Replacement Parts,,,,,,,,
computers > Data Storage,https://www.amazon.ae/Data-Storage-Computers/b?ie=UTF8&node=12050241031,computers , Data Storage,,,,,,,,
computers > Desktops,https://www.amazon.ae/Desktops-Computers/b?ie=UTF8&node=12050242031,computers , Desktops,,,,,,,,
computers > eWriters,https://www.amazon.ae/eWriters-Computers/b?ie=UTF8&node=15901035031,computers , eWriters,,,,,,,,
computers > Laptops,https://www.amazon.ae/Laptops-Computers/b?ie=UTF8&node=12050245031,computers , Laptops,,,,,,,,
computers > Monitors,https://www.amazon.ae/Monitors-Computers/b?ie=UTF8&node=12050246031,computers , Monitors,,,,,,,,
computers > Networking Devices,https://www.amazon.ae/Networking-Devices-Computers/b?ie=UTF8&node=12050247031,computers , Networking Devices,,,,,,,,
computers > Printers & Accessories,https://www.amazon.ae/Printers-Accessories-Computers/b?ie=UTF8&node=12050248031,computers , Printers & Accessories,,,,,,,,
computers > Scanners & Accessories,https://www.amazon.ae/Scanners-Accessories-Computers/b?ie=UTF8&node=15144677031,computers , Scanners & Accessories,,,,,,,,
computers > Tablets,https://www.amazon.ae/Tablets-Computers/b?ie=UTF8&node=12050253031,computers , Tablets,,,,,,,,
computers > Accessories > Adapters,https://www.amazon.ae/Adapters-Accessories/b?ie=UTF8&node=12050255031,computers , Accessories , Adapters,,,,,,,
computers > Accessories > Audio & Video Accessories,https://www.amazon.ae/Audio-Video-Accessories/b?ie=UTF8&node=12050256031,computers , Accessories , Audio & Video Accessories,,,,,,,
computers > Accessories > Blank Media,https://www.amazon.ae/Blank-Media-Accessories/b?ie=UTF8&node=12050257031,computers , Accessories , Blank Media,,,,,,,
computers > Accessories > Hard Drive Accessories,https://www.amazon.ae/Hard-Drive-Accessories/b?ie=UTF8&node=12050259031,computers , Accessories , Hard Drive Accessories,,,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices",https://www.amazon.ae/Keyboards-Mice-Input-Devices-Accessories/b?ie=UTF8&node=12050260031,computers , Accessories ," Keyboards, Mice & Input Devices",,,,,,,
computers > Accessories > Laptop Accessories,https://www.amazon.ae/Laptop-Accessories/b?ie=UTF8&node=12050261031,computers , Accessories , Laptop Accessories,,,,,,,
computers > Accessories > Media Storage,https://www.amazon.ae/Media-Storage-Accessories/b?ie=UTF8&node=12050262031,computers , Accessories , Media Storage,,,,,,,
computers > Accessories > Memory Card Accessories,https://www.amazon.ae/Memory-Card-Accessories/b?ie=UTF8&node=12050263031,computers , Accessories , Memory Card Accessories,,,,,,,
computers > Accessories > Monitor Accessories,https://www.amazon.ae/Monitor-Accessories/b?ie=UTF8&node=12050264031,computers , Accessories , Monitor Accessories,,,,,,,
computers > Accessories > Printer Accessories,https://www.amazon.ae/Printer-Accessories/b?ie=UTF8&node=12050319031,computers , Accessories , Printer Accessories,,,,,,,
computers > Accessories > Tablet Accessories,https://www.amazon.ae/Tablet-Accessories/b?ie=UTF8&node=12050268031,computers , Accessories , Tablet Accessories,,,,,,,
computers > Accessories > USB Gadgets,https://www.amazon.ae/USB-Gadgets-Accessories/b?ie=UTF8&node=12050269031,computers , Accessories , USB Gadgets,,,,,,,
computers > Accessories > USB Hubs,https://www.amazon.ae/USB-Hubs-Accessories/b?ie=UTF8&node=15144680031,computers , Accessories , USB Hubs,,,,,,,
computers > Accessories > Uninterruptible Power Supply (UPS) & Accessories,https://www.amazon.ae/Uninterruptible-Power-Supply-UPS-Accessories/b?ie=UTF8&node=15144681031,computers , Accessories , Uninterruptible Power Supply (UPS) & Accessories,,,,,,,
computers > Accessories > Cables & Accessories,https://www.amazon.ae/Cables-Accessories/b?ie=UTF8&node=27209270031,computers , Accessories , Cables & Accessories,,,,,,,
computers > Components & Replacement Parts > Computer Screws,https://www.amazon.ae/b?node=12050298031&ref=sr_nr_n_1,computers , Components & Replacement Parts , Computer Screws,,,,,,,
computers > Components & Replacement Parts > External Computer Components,https://www.amazon.ae/b?node=12050243031&ref=sr_nr_n_2,computers , Components & Replacement Parts , External Computer Components,,,,,,,
computers > Components & Replacement Parts > Internal Components,https://www.amazon.ae/b?node=15144684031&ref=sr_nr_n_3,computers , Components & Replacement Parts , Internal Components,,,,,,,
computers > Components & Replacement Parts > Laptop Components & Replacement Parts,https://www.amazon.ae/b?node=12050244031&ref=sr_nr_n_4,computers , Components & Replacement Parts , Laptop Components & Replacement Parts,,,,,,,
computers > Data Storage > External Data Storage,https://www.amazon.ae/External-Data-Storage/b?ie=UTF8&node=12050286031,computers , Data Storage , External Data Storage,,,,,,,
computers > Data Storage > Internal Data Storage,https://www.amazon.ae/Internal-Data-Storage/b?ie=UTF8&node=15144685031,computers , Data Storage , Internal Data Storage,,,,,,,
computers > Data Storage > Network Attached Storage,https://www.amazon.ae/Network-Attached-Storage-Data/b?ie=UTF8&node=12050289031,computers , Data Storage , Network Attached Storage,,,,,,,
computers > Desktops > All-in-One Desktop Computers,https://www.amazon.ae/b?node=12050291031&ref=sr_nr_n_1,computers , Desktops , All-in-One Desktop Computers,,,,,,,
computers > Desktops > Desktop Computer Towers,https://www.amazon.ae/b?node=12050293031&ref=sr_nr_n_2,computers , Desktops , Desktop Computer Towers,,,,,,,
computers > Networking Devices > Computer Network Adapters,https://www.amazon.ae/b?node=12050310031&ref=sr_nr_n_1,computers , Networking Devices , Computer Network Adapters,,,,,,,
computers > Networking Devices > Network Switches,https://www.amazon.ae/b?node=12050313031&ref=sr_nr_n_2,computers , Networking Devices , Network Switches,,,,,,,
computers > Networking Devices > Network Transceivers,https://www.amazon.ae/b?node=12050314031&ref=sr_nr_n_3,computers , Networking Devices , Network Transceivers,,,,,,,
computers > Networking Devices > Routers,https://www.amazon.ae/b?node=12050317031&ref=sr_nr_n_4,computers , Networking Devices , Routers,,,,,,,
computers > Printers & Accessories > Printer Accessories,https://www.amazon.ae/Printer-Accessories-Printers/b?ie=UTF8&node=12050319031,computers , Printers & Accessories , Printer Accessories,,,,,,,
computers > Printers & Accessories > Printers,https://www.amazon.ae/Printers-Accessories/b?ie=UTF8&node=12050320031,computers , Printers & Accessories , Printers,,,,,,,
computers > Accessories > Adapters > USB to USB Adapters,https://www.amazon.ae/USB-to-Adapters/b?ie=UTF8&node=12050340031,computers , Accessories , Adapters , USB to USB Adapters,,,,,,
computers > Accessories > Audio & Video Accessories > Computer Headsets,https://www.amazon.ae/b?node=12050342031&ref=sr_nr_n_1,computers , Accessories , Audio & Video Accessories , Computer Headsets,,,,,,
computers > Accessories > Audio & Video Accessories > Computer Microphones,https://www.amazon.ae/b?node=12050343031&ref=sr_nr_n_2,computers , Accessories , Audio & Video Accessories , Computer Microphones,,,,,,
computers > Accessories > Audio & Video Accessories > Computer Speakers,https://www.amazon.ae/b?node=12050344031&ref=sr_nr_n_3,computers , Accessories , Audio & Video Accessories , Computer Speakers,,,,,,
computers > Accessories > Audio & Video Accessories > Webcams & VoIP Equipment,https://www.amazon.ae/b?node=12050345031&ref=sr_nr_n_4,computers , Accessories , Audio & Video Accessories , Webcams & VoIP Equipment,,,,,,
computers > Accessories > Blank Media > Data Cartridges,https://www.amazon.ae/Data-Cartridges-Blank-Media/b?ie=UTF8&node=12050355031,computers , Accessories , Blank Media , Data Cartridges,,,,,,
computers > Accessories > Blank Media > DVD+R,https://www.amazon.ae/DVD-R-Blank-Media/b?ie=UTF8&node=12050350031,computers , Accessories , Blank Media , DVD+R,,,,,,
computers > Accessories > Hard Drive Accessories > Bags & Cases,https://www.amazon.ae/Bags-Cases-Hard-Drive-Accessories/b?ie=UTF8&node=12050376031,computers , Accessories , Hard Drive Accessories , Bags & Cases,,,,,,
computers > Accessories > Hard Drive Accessories > Caddies,https://www.amazon.ae/Caddies-Hard-Drive-Accessories/b?ie=UTF8&node=27322901031,computers , Accessories , Hard Drive Accessories , Caddies,,,,,,
computers > Accessories > Hard Drive Accessories > Docking Stations,https://www.amazon.ae/Docking-Stations-Hard-Drive-Accessories/b?ie=UTF8&node=12050377031,computers , Accessories , Hard Drive Accessories , Docking Stations,,,,,,
computers > Accessories > Hard Drive Accessories > Enclosures,https://www.amazon.ae/Enclosures-Hard-Drive-Accessories/b?ie=UTF8&node=27322902031,computers , Accessories , Hard Drive Accessories , Enclosures,,,,,,
computers > Accessories > Hard Drive Accessories > Mounting Brackets,https://www.amazon.ae/Mounting-Brackets-Hard-Drive-Accessories/b?ie=UTF8&node=27322900031,computers , Accessories , Hard Drive Accessories , Mounting Brackets,,,,,,
computers > Accessories > Hard Drive Accessories > Printed Circuit Boards,https://www.amazon.ae/Printed-Circuit-Boards-Hard-Drive-Accessories/b?ie=UTF8&node=15144690031,computers , Accessories , Hard Drive Accessories , Printed Circuit Boards,,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Graphic Tablet Pens",https://www.amazon.ae/b?node=12050381031&ref=sr_nr_n_1,computers , Accessories ," Keyboards, Mice & Input Devices ", Graphic Tablet Pens,,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Graphic Tablets",https://www.amazon.ae/b?node=12050382031&ref=sr_nr_n_2,computers , Accessories ," Keyboards, Mice & Input Devices ", Graphic Tablets,,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Computer Keyboard & Mice Accessories",https://www.amazon.ae/b?node=12050383031&ref=sr_nr_n_3,computers , Accessories ," Keyboards, Mice & Input Devices ", Computer Keyboard & Mice Accessories,,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Computer Keyboard & Mouse Combos",https://www.amazon.ae/b?node=12050384031&ref=sr_nr_n_4,computers , Accessories ," Keyboards, Mice & Input Devices ", Computer Keyboard & Mouse Combos,,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Computer Keyboards",https://www.amazon.ae/b?node=12050385031&ref=sr_nr_n_5,computers , Accessories ," Keyboards, Mice & Input Devices ", Computer Keyboards,,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Computer Mice",https://www.amazon.ae/b?node=12050386031&ref=sr_nr_n_6,computers , Accessories ," Keyboards, Mice & Input Devices ", Computer Mice,,,,,,
"computers > Accessories > Keyboards, Mice & Input Devices > Computer Touch Pads",https://www.amazon.ae/b?node=12050388031&ref=sr_nr_n_7,computers , Accessories ," Keyboards, Mice & Input Devices ", Computer Touch Pads,,,,,,
"computers > Accessories > Laptop Accessories > Laptop Bags, Cases & Sleeves",https://www.amazon.ae/b?node=12050390031&ref=sr_nr_n_1,computers , Accessories , Laptop Accessories ," Laptop Bags, Cases & Sleeves",,,,,,
computers > Accessories > Laptop Accessories > Laptop Batteries,https://www.amazon.ae/b?node=12050391031&ref=sr_nr_n_2,computers , Accessories , Laptop Accessories , Laptop Batteries,,,,,,
computers > Accessories > Laptop Accessories > Camera Privacy Covers,https://www.amazon.ae/b?node=21074738031&ref=sr_nr_n_3,computers , Accessories , Laptop Accessories , Camera Privacy Covers,,,,,,
computers > Accessories > Laptop Accessories > Laptop Chargers & Docking Stations,https://www.amazon.ae/b?node=12050392031&ref=sr_nr_n_4,computers , Accessories , Laptop Accessories , Laptop Chargers & Docking Stations,,,,,,
computers > Accessories > Laptop Accessories > Laptop Cooling Pads & External Fans,https://www.amazon.ae/b?node=12050393031&ref=sr_nr_n_5,computers , Accessories , Laptop Accessories , Laptop Cooling Pads & External Fans,,,,,,
computers > Accessories > Laptop Accessories > Laptop Lapdesks,https://www.amazon.ae/b?node=12050394031&ref=sr_nr_n_6,computers , Accessories , Laptop Accessories , Laptop Lapdesks,,,,,,
computers > Accessories > Laptop Accessories > Laptop Screen Filters,https://www.amazon.ae/b?node=12050396031&ref=sr_nr_n_7,computers , Accessories , Laptop Accessories , Laptop Screen Filters,,,,,,
computers > Accessories > Laptop Accessories > Laptop Screen Protectors,https://www.amazon.ae/b?node=12050397031&ref=sr_nr_n_8,computers , Accessories , Laptop Accessories , Laptop Screen Protectors,,,,,,
computers > Accessories > Laptop Accessories > Laptop Security Locks,https://www.amazon.ae/b?node=12050398031&ref=sr_nr_n_9,computers , Accessories , Laptop Accessories , Laptop Security Locks,,,,,,
computers > Accessories > Laptop Accessories > Laptop Skins & Decals,https://www.amazon.ae/b?node=12050399031&ref=sr_nr_n_10,computers , Accessories , Laptop Accessories , Laptop Skins & Decals,,,,,,
computers > Accessories > Laptop Accessories > Laptop Stands,https://www.amazon.ae/b?node=12050400031&ref=sr_nr_n_11,computers , Accessories , Laptop Accessories , Laptop Stands,,,,,,
computers > Accessories > Media Storage > Blank Media Cases & Wallets,https://www.amazon.ae/Blank-Media-Cases-Wallets-Storage/b?ie=UTF8&node=12050401031,computers , Accessories , Media Storage , Blank Media Cases & Wallets,,,,,,
computers > Accessories > Memory Card Accessories > External Memory Card Readers,https://www.amazon.ae/External-Memory-Card-Readers-Accessories/b?ie=UTF8&node=12050404031,computers , Accessories , Memory Card Accessories , External Memory Card Readers,,,,,,
computers > Accessories > Monitor Accessories > Anti-Glare & Privacy Filters,https://www.amazon.ae/b?node=15144689031&ref=sr_nr_n_1,computers , Accessories , Monitor Accessories , Anti-Glare & Privacy Filters,,,,,,
computers > Accessories > Monitor Accessories > Computer Monitor Arms,https://www.amazon.ae/b?node=26929489031&ref=sr_nr_n_2,computers , Accessories , Monitor Accessories , Computer Monitor Arms,,,,,,
