cat_level_name,cat_level_url,Category_Level_1,Category_Level_2,Category_Level_3,Category_Level_4,Category_Level_5,Category_Level_6,Category_Level_7,Category_Level_8,Category_Level_9,Category_Level_10
grocery,https://www.amazon.ae/s/ref=nb_sb_noss?url=search-alias%3Dgrocery,grocery,,,,,,,,,
grocery > Baby Foods,https://www.amazon.ae/Baby-Foods-Grocery/b?ie=UTF8&node=12422869031,grocery , Baby Foods,,,,,,,,
"grocery > Canned, Jarred & Packaged Foods",https://www.amazon.ae/Canned-Jarred-Packaged-Foods-Grocery/b?ie=UTF8&node=15159983031,grocery ," Canned, Jarred & Packaged Foods",,,,,,,,
"grocery > Coffee, Tea & Beverages",https://www.amazon.ae/Coffee-Tea-Beverages-Grocery/b?ie=UTF8&node=15159985031,grocery ," Coffee, Tea & Beverages",,,,,,,,
grocery > Cooking & Baking Supplies,https://www.amazon.ae/Cooking-Baking-Supplies-Grocery/b?ie=UTF8&node=15159986031,grocery , Cooking & Baking Supplies,,,,,,,,
grocery > Dairy & Eggs,https://www.amazon.ae/Dairy-Eggs-Grocery/b?ie=UTF8&node=15159987031,grocery , Dairy & Eggs,,,,,,,,
"grocery > Dried Pulses, Rice & Pasta",https://www.amazon.ae/Dried-Pulses-Rice-Pasta-Grocery/b?ie=UTF8&node=15159989031,grocery ," Dried Pulses, Rice & Pasta",,,,,,,,
"grocery > Jams, Honey & Spreads",https://www.amazon.ae/Jams-Honey-Spreads-Grocery/b?ie=UTF8&node=15159998031,grocery ," Jams, Honey & Spreads",,,,,,,,
"grocery > Oils, Vinegars & Salad Dressings",https://www.amazon.ae/Oils-Vinegars-Salad-Dressings-Grocery/b?ie=UTF8&node=15160001031,grocery ," Oils, Vinegars & Salad Dressings",,,,,,,,
grocery > Snacks & Sweets,https://www.amazon.ae/Snacks-Sweets-Grocery/b?ie=UTF8&node=15160005031,grocery , Snacks & Sweets,,,,,,,,
grocery > Baby Foods > Drinks & Smoothies for Babies,https://www.amazon.ae/b?node=22202762031&ref=sr_nr_n_1,grocery , Baby Foods , Drinks & Smoothies for Babies,,,,,,,
grocery > Baby Foods > Baby & Toddler Formula,https://www.amazon.ae/b?node=15245109031&ref=sr_nr_n_2,grocery , Baby Foods , Baby & Toddler Formula,,,,,,,
"grocery > Canned, Jarred & Packaged Foods > Fish & Seafood",https://www.amazon.ae/Fish-Seafood-Canned-Jarred-Packaged-Foods/b?ie=UTF8&node=15245129031,grocery ," Canned, Jarred & Packaged Foods ", Fish & Seafood,,,,,,,
"grocery > Canned, Jarred & Packaged Foods > Fruits",https://www.amazon.ae/Fruits-Canned-Jarred-Packaged-Foods/b?ie=UTF8&node=15160017031,grocery ," Canned, Jarred & Packaged Foods ", Fruits,,,,,,,
"grocery > Canned, Jarred & Packaged Foods > Pickled Foods",https://www.amazon.ae/Pickled-Foods-Canned-Jarred-Packaged/b?ie=UTF8&node=15160021031,grocery ," Canned, Jarred & Packaged Foods ", Pickled Foods,,,,,,,
"grocery > Canned, Jarred & Packaged Foods > Vegetables",https://www.amazon.ae/Vegetables-Canned-Jarred-Packaged-Foods/b?ie=UTF8&node=15160027031,grocery ," Canned, Jarred & Packaged Foods ", Vegetables,,,,,,,
"grocery > Coffee, Tea & Beverages > Bubble Tea",https://www.amazon.ae/Bubble-Tea-Coffee-Beverages/b?ie=UTF8&node=27347556031,grocery ," Coffee, Tea & Beverages ", Bubble Tea,,,,,,,
"grocery > Coffee, Tea & Beverages > Coffee & Espresso",https://www.amazon.ae/Coffee-Espresso-Tea-Beverages/b?ie=UTF8&node=15160035031,grocery ," Coffee, Tea & Beverages ", Coffee & Espresso,,,,,,,
"grocery > Coffee, Tea & Beverages > Energy Drinks",https://www.amazon.ae/Energy-Drinks-Coffee-Tea-Beverages/b?ie=UTF8&node=15245264031,grocery ," Coffee, Tea & Beverages ", Energy Drinks,,,,,,,
"grocery > Coffee, Tea & Beverages > Juices",https://www.amazon.ae/Juices-Coffee-Tea-Beverages/b?ie=UTF8&node=15160039031,grocery ," Coffee, Tea & Beverages ", Juices,,,,,,,
