cat_level_name,cat_level_url,Category_Level_1,Category_Level_2,Category_Level_3,Category_Level_4,Category_Level_5,Category_Level_6,Category_Level_7
videogames,https://www.amazon.ae/s/ref=nb_sb_noss?url=search-alias%3Dvideogames,videogames,,,,,,
videogames > Legacy Systems,https://www.amazon.ae/Legacy-Systems-Videogames/b?ie=UTF8&node=26864472031,videogames , Legacy Systems,,,,,
videogames > Mac,https://www.amazon.ae/Mac-Videogames/b?ie=UTF8&node=12359180031,videogames , Mac,,,,,
videogames > Nintendo Switch,https://www.amazon.ae/Nintendo-Switch-Videogames/b?ie=UTF8&node=12359183031,videogames , Nintendo Switch,,,,,
videogames > PC,https://www.amazon.ae/PC-Videogames/b?ie=UTF8&node=12359184031,videogames , PC,,,,,
videogames > PlayStation 4,https://www.amazon.ae/PlayStation-4-Videogames/b?ie=UTF8&node=12359187031,videogames , PlayStation 4,,,,,
videogames > PlayStation 5,https://www.amazon.ae/PlayStation-5-Videogames/b?ie=UTF8&node=20904689031,videogames , PlayStation 5,,,,,
videogames > Xbox One,https://www.amazon.ae/Xbox-One-Videogames/b?ie=UTF8&node=12359193031,videogames , Xbox One,,,,,
videogames > Xbox Series X & S,https://www.amazon.ae/Xbox-Series-X-S-Videogames/b?ie=UTF8&node=20904706031,videogames , Xbox Series X & S,,,,,
videogames > Legacy Systems > Handheld Game Systems,https://www.amazon.ae/Handheld-Game-Systems-Legacy/b?ie=UTF8&node=26864477031,videogames , Legacy Systems , Handheld Game Systems,,,,
videogames > Legacy Systems > Nintendo Systems,https://www.amazon.ae/Nintendo-Systems-Legacy/b?ie=UTF8&node=26864475031,videogames , Legacy Systems , Nintendo Systems,,,,
videogames > Legacy Systems > PlayStation Systems,https://www.amazon.ae/PlayStation-Systems-Legacy/b?ie=UTF8&node=26864474031,videogames , Legacy Systems , PlayStation Systems,,,,
videogames > Legacy Systems > Xbox Systems,https://www.amazon.ae/Xbox-Systems-Legacy/b?ie=UTF8&node=26864476031,videogames , Legacy Systems , Xbox Systems,,,,
videogames > Mac > Mac Accessories,https://www.amazon.ae/b?node=12359226031&ref=sr_nr_n_1,videogames , Mac , Mac Accessories,,,,
videogames > Mac > Mac Games,https://www.amazon.ae/b?node=12359230031&ref=sr_nr_n_2,videogames , Mac , Mac Games,,,,
videogames > Nintendo Switch > Accessories,https://www.amazon.ae/Accessories-Nintendo-Switch/b?ie=UTF8&node=12359243031,videogames , Nintendo Switch , Accessories,,,,
videogames > Nintendo Switch > Consoles,https://www.amazon.ae/Consoles-Nintendo-Switch/b?ie=UTF8&node=12359244031,videogames , Nintendo Switch , Consoles,,,,
videogames > Nintendo Switch > Games,https://www.amazon.ae/Games-Nintendo-Switch/b?ie=UTF8&node=12359246031,videogames , Nintendo Switch , Games,,,,
videogames > PC > Accessories,https://www.amazon.ae/Accessories-PC/b?ie=UTF8&node=12359247031,videogames , PC , Accessories,,,,
videogames > PC > Games,https://www.amazon.ae/Games-PC/b?ie=UTF8&node=12359251031,videogames , PC , Games,,,,
videogames > PlayStation 4 > Accessories,https://www.amazon.ae/Accessories-PlayStation-4/b?ie=UTF8&node=12359265031,videogames , PlayStation 4 , Accessories,,,,
videogames > PlayStation 4 > Consoles,https://www.amazon.ae/Consoles-PlayStation-4/b?ie=UTF8&node=12359267031,videogames , PlayStation 4 , Consoles,,,,
videogames > PlayStation 4 > Games,https://www.amazon.ae/Games-PlayStation-4/b?ie=UTF8&node=12359271031,videogames , PlayStation 4 , Games,,,,
videogames > PlayStation 4 > Interactive Gaming Figures,https://www.amazon.ae/Interactive-Gaming-Figures-PlayStation-4/b?ie=UTF8&node=12359272031,videogames , PlayStation 4 , Interactive Gaming Figures,,,,
videogames > PlayStation 5 > Accessories,https://www.amazon.ae/s?i=videogames&bbn=20904689031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031&dc&language=en_AE&brr=1&qid=1645637174&rd=1&rnid=20904689031&ref=sr_nr_n_1,videogames , PlayStation 5 , Accessories,,,,
videogames > PlayStation 5 > Consoles,https://www.amazon.ae/s?i=videogames&bbn=20904689031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904704031&dc&language=en_AE&brr=1&qid=1645637174&rd=1&rnid=20904689031&ref=sr_nr_n_2,videogames , PlayStation 5 , Consoles,,,,
videogames > PlayStation 5 > Games,https://www.amazon.ae/s?i=videogames&bbn=20904689031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904705031&dc&language=en_AE&brr=1&qid=1645637174&rd=1&rnid=20904689031&ref=sr_nr_n_3,videogames , PlayStation 5 , Games,,,,
videogames > Xbox One > Xbox One Accessories,https://www.amazon.ae/b?node=12359304031&ref=sr_nr_n_1,videogames , Xbox One , Xbox One Accessories,,,,
videogames > Xbox One > Xbox One Consoles,https://www.amazon.ae/b?node=12359306031&ref=sr_nr_n_2,videogames , Xbox One , Xbox One Consoles,,,,
videogames > Xbox One > Xbox One Games,https://www.amazon.ae/b?node=12359310031&ref=sr_nr_n_3,videogames , Xbox One , Xbox One Games,,,,
videogames > Xbox One > Xbox One Interactive Gaming Figures,https://www.amazon.ae/b?node=12359311031&ref=sr_nr_n_4,videogames , Xbox One , Xbox One Interactive Gaming Figures,,,,
videogames > Xbox Series X & S > Accessories,https://www.amazon.ae/s?i=videogames&bbn=20904706031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904707031&dc&language=en_AE&brr=1&qid=1645637187&rd=1&rnid=20904706031&ref=sr_nr_n_1,videogames , Xbox Series X & S , Accessories,,,,
videogames > Xbox Series X & S > Consoles,https://www.amazon.ae/s?i=videogames&bbn=20904706031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904721031&dc&language=en_AE&brr=1&qid=1645637187&rd=1&rnid=20904706031&ref=sr_nr_n_2,videogames , Xbox Series X & S , Consoles,,,,
videogames > Xbox Series X & S > Games,https://www.amazon.ae/s?i=videogames&bbn=20904706031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904722031&dc&language=en_AE&brr=1&qid=1645637187&rd=1&rnid=20904706031&ref=sr_nr_n_3,videogames , Xbox Series X & S , Games,,,,
videogames > Legacy Systems > Handheld Game Systems > Nintendo 3DS & 2DS,https://www.amazon.ae/Nintendo-3DS-2DS-Handheld-Game-Systems/b?ie=UTF8&node=12359181031,videogames , Legacy Systems , Handheld Game Systems , Nintendo 3DS & 2DS,,,
videogames > Legacy Systems > Handheld Game Systems > Nintendo DS,https://www.amazon.ae/Nintendo-DS-Handheld-Game-Systems/b?ie=UTF8&node=12359182031,videogames , Legacy Systems , Handheld Game Systems , Nintendo DS,,,
videogames > Legacy Systems > Handheld Game Systems > PlayStation Vita,https://www.amazon.ae/PlayStation-Vita-Handheld-Game-Systems/b?ie=UTF8&node=12359188031,videogames , Legacy Systems , Handheld Game Systems , PlayStation Vita,,,
videogames > Legacy Systems > Handheld Game Systems > PSP,https://www.amazon.ae/PSP-Handheld-Game-Systems/b?ie=UTF8&node=12359185031,videogames , Legacy Systems , Handheld Game Systems , PSP,,,
videogames > Legacy Systems > Nintendo Systems > Game Boy Advance,https://www.amazon.ae/Game-Boy-Advance-Nintendo-Systems/b?ie=UTF8&node=12359203031,videogames , Legacy Systems , Nintendo Systems , Game Boy Advance,,,
videogames > Legacy Systems > Nintendo Systems > GameCube,https://www.amazon.ae/GameCube-Nintendo-Systems/b?ie=UTF8&node=12359206031,videogames , Legacy Systems , Nintendo Systems , GameCube,,,
videogames > Legacy Systems > Nintendo Systems > Nintendo 3DS & 2DS,https://www.amazon.ae/Nintendo-3DS-2DS-Systems/b?ie=UTF8&node=12359181031,videogames , Legacy Systems , Nintendo Systems , Nintendo 3DS & 2DS,,,
videogames > Legacy Systems > Nintendo Systems > Nintendo DS,https://www.amazon.ae/Nintendo-DS-Systems/b?ie=UTF8&node=12359182031,videogames , Legacy Systems , Nintendo Systems , Nintendo DS,,,
videogames > Legacy Systems > Nintendo Systems > Super Nintendo (SNES),https://www.amazon.ae/Super-Nintendo-SNES-Systems/b?ie=UTF8&node=12359223031,videogames , Legacy Systems , Nintendo Systems , Super Nintendo (SNES),,,
videogames > Legacy Systems > Nintendo Systems > Wii,https://www.amazon.ae/Wii-Nintendo-Systems/b?ie=UTF8&node=12359191031,videogames , Legacy Systems , Nintendo Systems , Wii,,,
videogames > Legacy Systems > Nintendo Systems > Wii U,https://www.amazon.ae/Wii-U-Nintendo-Systems/b?ie=UTF8&node=12359190031,videogames , Legacy Systems , Nintendo Systems , Wii U,,,
videogames > Legacy Systems > PlayStation Systems > PlayStation,https://www.amazon.ae/PlayStation-Systems/b?ie=UTF8&node=12359215031,videogames , Legacy Systems , PlayStation Systems , PlayStation,,,
videogames > Legacy Systems > PlayStation Systems > PlayStation 2,https://www.amazon.ae/PlayStation-2-Systems/b?ie=UTF8&node=12359214031,videogames , Legacy Systems , PlayStation Systems , PlayStation 2,,,
videogames > Legacy Systems > PlayStation Systems > PlayStation 3,https://www.amazon.ae/PlayStation-3-Systems/b?ie=UTF8&node=12359186031,videogames , Legacy Systems , PlayStation Systems , PlayStation 3,,,
videogames > Legacy Systems > PlayStation Systems > PlayStation Vita,https://www.amazon.ae/PlayStation-Vita-Systems/b?ie=UTF8&node=12359188031,videogames , Legacy Systems , PlayStation Systems , PlayStation Vita,,,
videogames > Legacy Systems > PlayStation Systems > PSP,https://www.amazon.ae/PSP-PlayStation-Systems/b?ie=UTF8&node=12359185031,videogames , Legacy Systems , PlayStation Systems , PSP,,,
videogames > Legacy Systems > Xbox Systems > Xbox,https://www.amazon.ae/Xbox-Systems/b?ie=UTF8&node=12359225031,videogames , Legacy Systems , Xbox Systems , Xbox,,,
videogames > Legacy Systems > Xbox Systems > Xbox 360,https://www.amazon.ae/Xbox-360-Systems/b?ie=UTF8&node=12359192031,videogames , Legacy Systems , Xbox Systems , Xbox 360,,,
videogames > PC > Accessories > PC Game Controllers,https://www.amazon.ae/b?node=15149687031&ref=sr_nr_n_1,videogames , PC , Accessories , PC Game Controllers,,,
videogames > PC > Accessories > PC Gaming Headsets,https://www.amazon.ae/b?node=12359447031&ref=sr_nr_n_2,videogames , PC , Accessories , PC Gaming Headsets,,,
videogames > PC > Accessories > PC Gaming Keyboards,https://www.amazon.ae/b?node=12359445031&ref=sr_nr_n_3,videogames , PC , Accessories , PC Gaming Keyboards,,,
videogames > PC > Accessories > PC Gaming Mice,https://www.amazon.ae/b?node=12359446031&ref=sr_nr_n_4,videogames , PC , Accessories , PC Gaming Mice,,,
videogames > PlayStation 4 > Accessories > PlayStation 4 Controllers,https://www.amazon.ae/b?node=12359492031&ref=sr_nr_n_1,videogames , PlayStation 4 , Accessories , PlayStation 4 Controllers,,,
videogames > PlayStation 4 > Accessories > PlayStation 4 Gaming Headsets,https://www.amazon.ae/b?node=12359495031&ref=sr_nr_n_2,videogames , PlayStation 4 , Accessories , PlayStation 4 Gaming Headsets,,,
videogames > PlayStation 5 > Accessories > Accessory Kits,https://www.amazon.ae/s?i=videogames&bbn=20904690031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031%2Cn%3A26921608031&dc&language=en_AE&brr=1&qid=1645637308&rd=1&rnid=20904690031&ref=sr_nr_n_1,videogames , PlayStation 5 , Accessories , Accessory Kits,,,
videogames > PlayStation 5 > Accessories > Batteries & Chargers,https://www.amazon.ae/s?i=videogames&bbn=20904690031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031%2Cn%3A20904691031&dc&language=en_AE&brr=1&qid=1645637308&rd=1&rnid=20904690031&ref=sr_nr_n_2,videogames , PlayStation 5 , Accessories , Batteries & Chargers,,,
videogames > PlayStation 5 > Accessories > Cables & Adapters,https://www.amazon.ae/s?i=videogames&bbn=20904690031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031%2Cn%3A20904695031&dc&language=en_AE&brr=1&qid=1645637308&rd=1&rnid=20904690031&ref=sr_nr_n_3,videogames , PlayStation 5 , Accessories , Cables & Adapters,,,
videogames > PlayStation 5 > Accessories > Cameras & Webcams,https://www.amazon.ae/s?i=videogames&bbn=20904690031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031%2Cn%3A22222788031&dc&language=en_AE&brr=1&qid=1645637308&rd=1&rnid=20904690031&ref=sr_nr_n_4,videogames , PlayStation 5 , Accessories , Cameras & Webcams,,,
videogames > PlayStation 5 > Accessories > Cases & Storage,https://www.amazon.ae/s?i=videogames&bbn=20904690031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031%2Cn%3A20904699031&dc&language=en_AE&brr=1&qid=1645637308&rd=1&rnid=20904690031&ref=sr_nr_n_5,videogames , PlayStation 5 , Accessories , Cases & Storage,,,
videogames > PlayStation 5 > Accessories > Controllers,https://www.amazon.ae/s?i=videogames&bbn=20904690031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031%2Cn%3A20904703031&dc&language=en_AE&brr=1&qid=1645637308&rd=1&rnid=20904690031&ref=sr_nr_n_6,videogames , PlayStation 5 , Accessories , Controllers,,,
"videogames > PlayStation 5 > Accessories > Faceplates, Protectors & Skins",https://www.amazon.ae/s?i=videogames&bbn=20904690031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031%2Cn%3A26975926031&dc&language=en_AE&brr=1&qid=1645637308&rd=1&rnid=20904690031&ref=sr_nr_n_7,videogames , PlayStation 5 , Accessories ," Faceplates, Protectors & Skins",,,
videogames > PlayStation 5 > Accessories > Gaming Headsets,https://www.amazon.ae/s?i=videogames&bbn=20904690031&rh=n%3A11601383031%2Cn%3A20904689031%2Cn%3A20904690031%2Cn%3A22222787031&dc&language=en_AE&brr=1&qid=1645637308&rd=1&rnid=20904690031&ref=sr_nr_n_8,videogames , PlayStation 5 , Accessories , Gaming Headsets,,,
videogames > Xbox One > Xbox One Accessories > Xbox One Controllers,https://www.amazon.ae/b?node=12359582031&ref=sr_nr_n_1,videogames , Xbox One , Xbox One Accessories , Xbox One Controllers,,,
"videogames > Xbox One > Xbox One Accessories > Xbox One Faceplates, Protectors & Skins",https://www.amazon.ae/b?node=12359584031&ref=sr_nr_n_2,videogames , Xbox One , Xbox One Accessories ," Xbox One Faceplates, Protectors & Skins",,,
videogames > Xbox One > Xbox One Accessories > Xbox One Gaming Headsets,https://www.amazon.ae/b?node=12359585031&ref=sr_nr_n_3,videogames , Xbox One , Xbox One Accessories , Xbox One Gaming Headsets,,,
videogames > Xbox Series X & S > Accessories > Accessory Kits,https://www.amazon.ae/s?i=videogames&bbn=20904707031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904707031%2Cn%3A26921607031&dc&language=en_AE&brr=1&qid=1645637342&rd=1&rnid=20904707031&ref=sr_nr_n_1,videogames , Xbox Series X & S , Accessories , Accessory Kits,,,
videogames > Xbox Series X & S > Accessories > Batteries & Chargers,https://www.amazon.ae/s?i=videogames&bbn=20904707031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904707031%2Cn%3A20904708031&dc&language=en_AE&brr=1&qid=1645637342&rd=1&rnid=20904707031&ref=sr_nr_n_2,videogames , Xbox Series X & S , Accessories , Batteries & Chargers,,,
videogames > Xbox Series X & S > Accessories > Cables & Adapters,https://www.amazon.ae/s?i=videogames&bbn=20904707031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904707031%2Cn%3A20904712031&dc&language=en_AE&brr=1&qid=1645637342&rd=1&rnid=20904707031&ref=sr_nr_n_3,videogames , Xbox Series X & S , Accessories , Cables & Adapters,,,
videogames > Xbox Series X & S > Accessories > Cases & Storage,https://www.amazon.ae/s?i=videogames&bbn=20904707031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904707031%2Cn%3A20904716031&dc&language=en_AE&brr=1&qid=1645637342&rd=1&rnid=20904707031&ref=sr_nr_n_4,videogames , Xbox Series X & S , Accessories , Cases & Storage,,,
videogames > Xbox Series X & S > Accessories > Controllers,https://www.amazon.ae/s?i=videogames&bbn=20904707031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904707031%2Cn%3A20904720031&dc&language=en_AE&brr=1&qid=1645637342&rd=1&rnid=20904707031&ref=sr_nr_n_5,videogames , Xbox Series X & S , Accessories , Controllers,,,
"videogames > Xbox Series X & S > Accessories > Faceplates, Protectors & Skins",https://www.amazon.ae/s?i=videogames&bbn=20904707031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904707031%2Cn%3A26975925031&dc&language=en_AE&brr=1&qid=1645637342&rd=1&rnid=20904707031&ref=sr_nr_n_6,videogames , Xbox Series X & S , Accessories ," Faceplates, Protectors & Skins",,,
videogames > Xbox Series X & S > Accessories > Gaming Headsets,https://www.amazon.ae/s?i=videogames&bbn=20904707031&rh=n%3A11601383031%2Cn%3A20904706031%2Cn%3A20904707031%2Cn%3A22222786031&dc&language=en_AE&brr=1&qid=1645637342&rd=1&rnid=20904707031&ref=sr_nr_n_7,videogames , Xbox Series X & S , Accessories , Gaming Headsets,,,
videogames > Legacy Systems > Handheld Game Systems > Nintendo 3DS & 2DS > Nintendo 3DS & 2DS Accessories,https://www.amazon.ae/b?node=12359231031&ref=sr_nr_n_3,videogames , Legacy Systems , Handheld Game Systems , Nintendo 3DS & 2DS , Nintendo 3DS & 2DS Accessories,,
videogames > Legacy Systems > Handheld Game Systems > Nintendo 3DS & 2DS > Nintendo 3DS & 2DS Games,https://www.amazon.ae/b?node=12359237031&ref=sr_nr_n_4,videogames , Legacy Systems , Handheld Game Systems , Nintendo 3DS & 2DS , Nintendo 3DS & 2DS Games,,
videogames > Legacy Systems > Handheld Game Systems > Nintendo 3DS & 2DS > Nintendo 3DS & 2DS Interactive Gaming Figures,https://www.amazon.ae/b?node=12359238031&ref=sr_nr_n_5,videogames , Legacy Systems , Handheld Game Systems , Nintendo 3DS & 2DS , Nintendo 3DS & 2DS Interactive Gaming Figures,,
videogames > Legacy Systems > Handheld Game Systems > Nintendo DS > Nintendo DS Accessories,https://www.amazon.ae/b?node=12359239031&ref=sr_nr_n_3,videogames , Legacy Systems , Handheld Game Systems , Nintendo DS , Nintendo DS Accessories,,
videogames > Legacy Systems > Handheld Game Systems > Nintendo DS > Nintendo DS Games,https://www.amazon.ae/b?node=12359242031&ref=sr_nr_n_4,videogames , Legacy Systems , Handheld Game Systems , Nintendo DS , Nintendo DS Games,,
videogames > Legacy Systems > Handheld Game Systems > PlayStation Vita > PlayStation Vita Accessories,https://www.amazon.ae/b?node=12359274031&ref=sr_nr_n_3,videogames , Legacy Systems , Handheld Game Systems , PlayStation Vita , PlayStation Vita Accessories,,
videogames > Legacy Systems > Handheld Game Systems > PlayStation Vita > PlayStation Vita Games,https://www.amazon.ae/b?node=12359280031&ref=sr_nr_n_4,videogames , Legacy Systems , Handheld Game Systems , PlayStation Vita , PlayStation Vita Games,,
